Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/Pretraining Loss
450000,1.3235735,3.8766929459025308,93.08777429467085,2.6625407,0.07109171,3.884937192012664,0.05051304917011795,1.6743389,0.03582565,0.00028701115,0.009552691,0.020506509,0.0
480000,1.3257172,4.478215404520188,98.37748344370861,3.071987,0.0648506,4.478215033743555,0.0454745180827769,1.4346176,0.038455706,0.0002860788,0.0084122615,0.021829443,0.0
510000,1.3257641,4.4916932468457,97.89108910891089,3.6046977,0.07056088,4.491692906557567,0.044151074201538666,1.356327,0.031920064,0.0002851437,0.007972483,0.022546485,0.0
540000,1.330521,4.868062918370654,98.06930693069307,4.3894753,0.05953474,4.851924043274777,0.038719635149433274,1.3340768,0.03669493,0.0002842074,0.00713679,0.024890414,0.0
570000,1.3294424,4.7173225581879565,97.8782894736842,4.526368,0.048893686,4.7334077237419,0.03736759663948569,1.136944,0.035589136,0.00028334948,0.0069746166,0.029106054,0.0
600000,1.3262147,4.633823748017521,97.04248366013071,4.729474,0.053837035,4.633823506480837,0.034450238611658704,1.3307371,0.035041664,0.00028249327,0.006455027,0.027602965,0.0
630000,1.3237385,4.6057465024839175,87.46607669616519,4.789532,0.057988945,4.45677868067493,0.034220267648349866,1.6646667,0.0328006,0.00028155927,0.0070159486,0.032496445,0.0
660000,1.3231459,5.477696259910838,97.11764705882354,6.1375813,0.07242006,5.6259638636397336,0.03443422796679478,1.7957791,0.033467527,0.0002806258,0.0063558724,0.035220575,0.0
690000,1.3193828,6.034088776269393,97.15409836065574,6.3660502,0.06957278,5.96730134141952,0.03218395024018943,1.3584806,0.035161223,0.000279695,0.006022777,0.03922862,0.0
720000,1.3169279,4.811746358894244,90.70336391437309,9.471702,0.06604768,4.875996745134909,0.03154516807509535,3.226357,0.03172335,0.00027884217,0.006225094,0.03748363,0.0
750000,1.3149059,5.231478452399772,92.19565217391305,8.542372,0.05454151,5.245422243233553,0.032538035153469175,4.8755307,0.034560714,0.00027798853,0.0063216095,0.03625008,0.0
780000,1.3093193,3.4166039824102685,94.87539936102236,7.5567436,0.052857492,3.3990319135268563,0.03015248264340809,1.4366757,0.033154007,0.00027706163,0.005843798,0.036630448,0.0
810000,1.3086696,2.373980729044941,95.90967741935484,7.0366464,0.0463376,2.3917227171902216,0.02788493620427025,0.4178271,0.034408774,0.00027613432,0.0053425715,0.034013208,0.0
840000,1.3109306,4.6411857974271475,88.86526946107784,6.504119,0.03835644,4.641185482228133,0.024748897444858343,1.2207605,0.0331462,0.0002751996,0.0050991853,0.035233684,0.0
870000,1.312364,5.056708557069734,88.2827380952381,7.0371027,0.040083896,5.051946338381164,0.02291397054449633,1.8395402,0.038574696,0.000274343,0.0047198297,0.03154872,0.0
900000,1.3126283,3.6988805458838825,90.80061349693251,7.155268,0.04761202,3.703429559732793,0.022202948622542656,1.1477422,0.03450899,0.00027348995,0.0044094133,0.029883787,0.0
930000,1.313421,5.7490998894823555,86.9325513196481,7.5795727,0.039511956,5.748856026329007,0.021784449454336878,0.8387694,0.03399394,0.00027255618,0.004590401,0.028761826,0.0
960000,1.3125483,5.659867977071554,95.80322580645161,8.463616,0.05524367,5.644577286269276,0.022809288909869087,1.3570867,0.03640424,0.00027162253,0.0044318214,0.031321675,0.0
990000,1.3123997,5.82330307319587,93.71608832807571,8.522323,0.04465456,5.8366779803639215,0.02144974940500519,0.56280905,0.03496891,0.00027076658,0.0041727177,0.033636417,0.0
1020000,1.3096223,4.970590990294864,75.81841432225065,7.7768044,0.032758,4.968800339557509,0.019832344593383764,3.464782,0.0335935,0.00026991134,0.0046621035,0.037755556,0.0
1050000,1.3066171,5.788327572820079,89.04804804804805,9.554383,0.039393235,5.777546391295557,0.021417622519139614,3.3167326,0.03453433,0.00026897862,0.0044203503,0.043171,0.0
1080000,1.3062072,5.268216051486044,80.98633879781421,9.170383,0.03512556,5.278516262267141,0.018442390232774445,3.0854511,0.032653365,0.000268048,0.004323783,0.03885619,0.0
1110000,1.3065959,5.522809215107792,83.23314606741573,8.686361,0.026253566,5.521067262236408,0.019982047946378066,2.4113338,0.03209914,0.00026711362,0.004449519,0.04088277,0.0
1140000,1.303317,6.094979863868333,86.20348837209302,9.636545,0.040766418,6.089776038624371,0.01988164981222051,0.4528296,0.030932099,0.00026626105,0.004284385,0.03497721,0.0
1170000,1.2978117,5.871863638899264,86.24418604651163,9.652039,0.037881114,5.882415539904858,0.03788557295216421,1.3547101,0.031461418,0.0002654104,0.0052222963,0.038464263,0.0
1200000,1.2955787,6.58922456583513,92.42056074766356,10.480172,0.03418301,6.5739904571400025,0.02005232149166435,0.5164529,0.0327211,0.0002644806,0.004093437,0.03717522,0.0
1230000,1.2931132,6.695930224400732,90.39634146341463,10.980354,0.032031637,6.708673578242647,0.018411501816888453,0.3846556,0.036865078,0.0002635488,0.0037996296,0.036667425,0.0
1260000,1.2869725,6.860021025645035,88.13946587537092,12.011811,0.027430866,6.862127355209037,0.0181321596881535,1.84152,0.032459475,0.0002626188,0.003795891,0.037196305,0.0
1290000,1.2869073,6.728068646404725,84.26780626780626,11.851972,0.02376326,6.717954230621163,0.015187191632655887,3.7972343,0.036427647,0.00026176483,0.0033308156,0.030353993,0.0
1320000,1.2882847,6.118517061604731,83.05865921787709,11.639493,0.020588264,6.123572551414459,0.014433278396853126,4.0294604,0.035440255,0.0002609111,0.0031392926,0.025884584,0.0
1350000,1.2897592,6.938629989819881,93.73417721518987,12.695963,0.029407147,6.9283447472078,0.01805776588657806,1.8821009,0.034709413,0.00025997742,0.00333318,0.025421888,0.0
1380000,1.2824976,6.61109034276208,89.04804804804805,12.338305,0.023198681,6.626074868938172,0.014429022612570374,2.3032458,0.03430642,0.0002590475,0.0030003989,0.02335243,0.0
1410000,1.2798901,6.574796222247004,85.16379310344827,12.125432,0.025270939,6.562927902240611,0.013187767961865356,2.3251636,0.039399486,0.0002581132,0.0028691154,0.026306724,0.0
1440000,1.2772278,6.577589175940375,82.49444444444444,13.036814,0.025777828,6.586199923312718,0.013367496926932492,6.8009806,0.031014508,0.0002572614,0.0029563704,0.023665363,0.0
1470000,1.2748343,7.8395148087480075,95.29903536977491,13.662938,0.040019277,7.826781181641779,0.01366591409681263,1.8795735,0.03294521,0.00025640897,0.002725444,0.021876426,0.0
1500000,1.2673792,7.311973282379341,89.23423423423424,13.346706,0.029995847,7.176507304187629,0.011311223252198181,1.2379214,0.033947825,0.00025547683,0.0023987095,0.02130743,0.0
1530000,1.2590295,8.434993782242778,96.99019607843137,15.105632,0.02536335,8.58273834667132,0.011000448964183139,0.26078928,0.036020283,0.0002545426,0.0020726172,0.020399619,0.0
1560000,1.253166,8.917069183655281,97.22622950819672,15.317511,0.03145251,8.91674069183016,0.011397308354708749,0.24397285,0.034073308,0.00025360822,0.0021953175,0.01857112,0.0
1590000,1.2491612,8.270760945086439,90.01212121212122,15.141009,0.029705387,8.270760539095765,0.010335645151931342,2.7200584,0.033581097,0.00025275155,0.0021171593,0.017159427,0.0
1620000,1.2428133,9.1919703584599,99.0,16.327572,0.034819063,9.192136387030283,0.011067724875950565,0.29628208,0.030964443,0.000251894,0.0020763793,0.017184278,0.0
1650000,1.2332873,9.032887417439795,98.82392026578073,16.544144,0.038099814,9.033285499807212,0.009956417863637802,0.19436689,0.035417024,0.00025095826,0.0019082963,0.014960281,0.0
1680000,1.2262797,8.694572154020715,92.709375,16.5819,0.030424248,8.552134105554433,0.009115112279323512,1.1992139,0.036266945,0.00025002562,0.0017670514,0.014714792,0.0
1710000,1.2228369,8.682646296736177,92.2080745341615,16.716637,0.017801953,8.8235463718345,0.008963395883719675,4.4776587,0.034263596,0.00024909337,0.0018427627,0.013030213,0.0
1740000,1.2145133,9.423108612413166,97.18032786885246,16.679863,0.020527264,9.423239162152052,0.008458365285463754,0.27739817,0.032010995,0.00024823495,0.0016320094,0.013467754,0.0
1770000,1.2068492,8.935334698675797,92.69375,17.09049,0.019818412,8.935334108404641,0.008792127890410483,1.2892185,0.040879853,0.00024737726,0.0016752487,0.01257068,0.0
1800000,1.2012779,7.907872622902651,92.61682242990655,16.742306,0.020818058,7.908027742290144,0.013169061844788398,1.7503473,0.03474671,0.00024644565,0.0027326485,0.03444482,0.0
1830000,1.19575,7.759095714669675,91.22769230769231,16.411804,0.01896306,7.758633729852019,0.029678561074229386,5.850582,0.036140185,0.00024551034,0.0031433075,0.028502254,0.0
1860000,1.1925391,8.57831700421404,99.0,17.02663,0.016538544,8.575849722872178,0.011557836822854975,0.1792247,0.033524856,0.0002446514,0.0021621464,0.024626182,0.0
1890000,1.190756,9.08920634494966,98.82724252491694,17.103153,0.013652673,9.093757310251016,0.010538769509191578,0.24082454,0.03108111,0.0002437923,0.0019636126,0.024172472,0.0
1920000,1.1857924,8.913233647525388,99.0,16.965582,0.015491931,8.928099732759097,0.010848146878027667,0.163526,0.03419024,0.00024285454,0.0019960727,0.020776859,0.0
1950000,1.1786691,9.268994093160853,93.88607594936708,16.950094,0.014943177,9.253075730087991,0.010893940130216247,0.3152614,0.03300046,0.00024191709,0.0021263745,0.02298902,0.0
1980000,1.1689324,9.470026977335413,99.0,17.62233,0.011122229,9.47005952566862,0.010687880384890984,0.23236647,0.033591636,0.00024105942,0.0019496953,0.019222602,0.0
